Frequency,year,Area,State,crop,Unit,Volume
"Annual, Ending mar Of Each Year", 3-2005,0.24,Karnataka,Wheat,Ton th,179.0
"Annual, Ending mar Of Each Year", 3-2006,0.25,Karnataka,Wheat,Ton th,217.0
"Annual, Ending mar Of Each Year", 3-2007,0.27,Karnataka,Wheat,Ton th,205.0
"Annual, Ending mar Of Each Year", 3-2008,0.28,Karnataka,Wheat,Ton th,261.0
"Annual, Ending mar Of Each Year", 3-2009,0.27,Karnataka,Wheat,Ton th,247.0
"Annual, Ending mar Of Each Year", 3-2010,0.283,Karnataka,Wheat,Ton th,251.0
"Annual, Ending mar Of Each Year", 3-2011,0.255,Karnataka,Wheat,Ton th,279.0
"Annual, Ending mar Of Each Year", 3-2012,0.23,Karnataka,Wheat,Ton th,190.0
"Annual, Ending mar Of Each Year", 3-2013,0.23,Karnataka,Wheat,Ton th,170.0
"Annual, Ending mar Of Each Year", 3-2005,4.14,MadhyaPradesh,Wheat,Ton th,7176.6
"Annual, Ending mar Of Each Year", 3-2006,3.69,MadhyaPradesh,Wheat,Ton th,5957.7
"Annual, Ending mar Of Each Year", 3-2007,3.99,MadhyaPradesh,Wheat,Ton th,7325.9
"Annual, Ending mar Of Each Year", 3-2008,3.74,MadhyaPradesh,Wheat,Ton th,6032.5
"Annual, Ending mar Of Each Year", 3-2009,3.79,MadhyaPradesh,Wheat,Ton th,6521.9
"Annual, Ending mar Of Each Year", 3-2010,4.2759,MadhyaPradesh,Wheat,Ton th,8410.0
"Annual, Ending mar Of Each Year", 3-2011,4.341,MadhyaPradesh,Wheat,Ton th,7627.0
"Annual, Ending mar Of Each Year", 3-2012,4.89,MadhyaPradesh,Wheat,Ton th,11540.0
"Annual, Ending mar Of Each Year", 3-2013,5.3,MadhyaPradesh,Wheat,Ton th,13130.0
"Annual, Ending mar Of Each Year", 3-2005,0.76,Maharashtra,Wheat,Ton th,1016.0
"Annual, Ending mar Of Each Year", 3-2006,0.93,Maharashtra,Wheat,Ton th,1300.0
"Annual, Ending mar Of Each Year", 3-2007,1.23,Maharashtra,Wheat,Ton th,1631.1
